,Name,income,income_per_capita,employment_labor_force,employment_civilian_labor_force,employment_employed,employment_unemployed,employment_male_business_and_financial_operations_occupations,employment_male_computer_engineering_and_science_occupations,employment_male_computer_and_mathematical_occupations,employment_female_business_and_financial_operations_occupations,employment_female_computer_engineering_and_science_occupations,employment_female_computer_and_mathematical_occupations,poverty,age,population,median_gross_rent,median_home_value,education_none,education_high_school,education_ged,education_associates,education_bachelors,education_masters,education_professional,education_doctorate,state,Year
0,Alabama,43160.0,23587.0,2265008.0,2248665.0,2017887.0,230778.0,30867.0,67158.0,27266.0,42534.0,21304.0,11249.0,842292.0,37.8,4777326.0,691.0,122300.0,40659.0,818162.0,173244.0,227301.0,448117.0,182960.0,44662.0,29262.0,01,2012
1,Alaska,69917.0,32537.0,389890.0,372484.0,341115.0,31369.0,5511.0,13641.0,3598.0,8851.0,4659.0,1284.0,66631.0,33.8,711139.0,1065.0,237900.0,2674.0,98765.0,22507.0,35312.0,79441.0,30708.0,7497.0,5322.0,02,2012
2,Arizona,50256.0,25571.0,3049419.0,3029669.0,2733537.0,296132.0,59098.0,113904.0,53141.0,71564.0,34737.0,18678.0,1074986.0,36.0,6410979.0,891.0,175900.0,51467.0,847998.0,164505.0,339398.0,702007.0,288414.0,68944.0,45738.0,04,2012
3,Arkansas,40531.0,22007.0,1377211.0,1370423.0,1253069.0,117354.0,19707.0,28457.0,12822.0,24701.0,10264.0,5852.0,530309.0,37.4,2916372.0,649.0,106300.0,22509.0,559309.0,115433.0,116356.0,252579.0,89971.0,22997.0,14787.0,05,2012
4,California,61400.0,29551.0,18821426.0,18673806.0,16614362.0,2059444.0,358163.0,750990.0,355697.0,459293.0,262889.0,119356.0,5590100.0,35.2,37325068.0,1209.0,383900.0,575881.0,4461255.0,527304.0,1861509.0,4667570.0,1766387.0,558834.0,351764.0,06,2012
5,Colorado,58244.0,31039.0,2749557.0,2717391.0,2498972.0,218419.0,59639.0,137549.0,68308.0,75659.0,45919.0,23943.0,633878.0,36.1,5042853.0,915.0,236800.0,27245.0,617354.0,126966.0,268170.0,780515.0,319729.0,72040.0,48622.0,08,2012
6,Delaware,60119.0,29733.0,464607.0,460810.0,422219.0,38591.0,8663.0,17114.0,7743.0,12520.0,6760.0,3031.0,100655.0,38.7,900131.0,985.0,241100.0,5814.0,170600.0,20266.0,43525.0,103120.0,48432.0,11087.0,9445.0,10,2012
7,District of Columbia,64267.0,45004.0,348010.0,344830.0,308602.0,36228.0,13659.0,17102.0,9048.0,15527.0,11681.0,5699.0,105606.0,33.9,605759.0,1200.0,443000.0,5214.0,67885.0,11689.0,12206.0,93963.0,69280.0,34107.0,16399.0,11,2012
8,Connecticut,69519.0,37807.0,1949251.0,1940413.0,1762707.0,177706.0,50718.0,77610.0,35979.0,50669.0,27527.0,13666.0,344616.0,40.0,3572213.0,1044.0,285900.0,23562.0,599381.0,77872.0,177531.0,494197.0,276483.0,70524.0,37885.0,09,2012
9,Florida,47309.0,26451.0,9328439.0,9270826.0,8220927.0,1049899.0,165373.0,244341.0,120990.0,198691.0,78943.0,41545.0,2887151.0,40.8,18885152.0,987.0,170800.0,170039.0,3360011.0,555867.0,1144238.0,2207281.0,831739.0,259487.0,136664.0,12,2012
